start_s,end_s,duration_s,pitch_midi,pitch_name,pitch_hz,velocity,confidence
82.1816,82.3558,0.1741,60,C4,261.626,71,0.5625
82.0075,82.1816,0.1741,60,C4,261.626,68,0.5322
82.0075,83.6225,1.6151,52,E3,164.814,84,0.6597
82.0075,83.2846,1.2771,48,C3,130.813,68,0.5326
81.7637,82.0075,0.2438,52,E3,164.814,61,0.4794
81.7521,82.0075,0.2554,60,C4,261.626,66,0.5192
81.4373,81.7521,0.3148,60,C4,261.626,85,0.6675
80.8104,81.4373,0.6269,65,F4,349.228,74,0.5806
80.7987,81.4373,0.6385,60,C4,261.626,85,0.6704
80.6014,80.6943,0.0929,61,C#4,277.183,43,0.3407
80.2415,80.6246,0.3831,69,A4,440.000,48,0.3747
80.2415,80.5549,0.3135,65,F4,349.228,62,0.4860
80.2299,80.5665,0.3367,60,C4,261.626,59,0.4672
80.0557,80.2415,0.1858,69,A4,440.000,36,0.2830
79.2533,80.2299,0.9765,60,C4,261.626,59,0.4651
78.8005,78.9747,0.1741,76,E5,659.255,40,0.3118
78.8005,79.1140,0.3135,60,C4,261.626,54,0.4263
78.8005,79.7074,0.9069,48,C3,130.813,53,0.4211
78.7889,79.1372,0.3483,64,E4,329.628,41,0.3214
78.7889,78.8934,0.1045,57,A3,220.000,38,0.3000
77.8718,78.6380,0.7663,48,C3,130.813,48,0.3780
76.8023,77.3364,0.5341,60,C4,261.626,61,0.4779
75.5020,75.6181,0.1161,53,F3,174.614,44,0.3448
75.0015,75.2105,0.2090,52,E3,164.814,67,0.5265
74.1308,74.2701,0.1393,45,A2,110.000,53,0.4196
71.9700,73.4561,1.4861,50,D3,146.832,56,0.4391
71.7843,71.9352,0.1509,56,G#3,207.652,35,0.2778
71.7378,73.3981,1.6602,44,G#2,103.826,58,0.4559
71.5637,71.7494,0.1858,53,F3,174.614,60,0.4697
71.0516,71.7146,0.6631,57,A3,220.000,67,0.5251
70.8542,71.4695,0.6153,53,F3,174.614,57,0.4523
70.8426,71.0748,0.2322,65,F4,349.228,42,0.3301
70.3085,70.4246,0.1161,55,G3,195.998,61,0.4813
70.0763,70.3433,0.2670,61,C#4,277.183,64,0.5033
69.8906,70.0879,0.1974,55,G3,195.998,52,0.4133
69.7164,70.0183,0.3019,52,E3,164.814,62,0.4865
69.5423,69.7280,0.1858,58,A#3,233.082,74,0.5859
69.5294,69.7977,0.2683,46,A#2,116.541,53,0.4170
69.3784,69.5423,0.1638,58,A#3,233.082,56,0.4444
68.9489,69.1578,0.2090,56,G#3,207.652,49,0.3866
68.9024,69.2623,0.3599,44,G#2,103.826,45,0.3528
68.6702,68.9489,0.2786,57,A3,220.000,86,0.6735
68.6006,68.6702,0.0697,57,A3,220.000,101,0.7915
68.2639,68.6006,0.3367,57,A3,220.000,73,0.5773
67.9156,68.2639,0.3483,57,A3,220.000,94,0.7399
67.5557,67.6486,0.0929,67,G4,391.995,39,0.3049
67.3570,67.5196,0.1625,65,F4,349.228,71,0.5581
67.3570,67.5441,0.1870,53,F3,174.614,55,0.4305
67.1713,67.3338,0.1625,64,E4,329.628,65,0.5149
66.9971,67.4731,0.4760,57,A3,220.000,71,0.5563
66.8462,67.0552,0.2090,65,F4,349.228,37,0.2933
66.8462,67.3570,0.5108,53,F3,174.614,56,0.4377
66.6836,66.9274,0.2438,49,C#3,138.591,51,0.3981
66.4050,66.7881,0.3831,57,A3,220.000,80,0.6327
66.3353,66.4050,0.0697,57,A3,220.000,73,0.5728
66.2541,66.8113,0.5573,64,E4,329.628,78,0.6106
66.0683,66.3353,0.2670,57,A3,220.000,75,0.5927
65.8942,66.0683,0.1741,57,A3,220.000,96,0.7525
65.7432,66.0103,0.2670,62,D4,293.665,69,0.5445
65.5562,65.8942,0.3380,57,A3,220.000,95,0.7446
65.3936,65.6271,0.2335,55,G3,195.998,57,0.4511
