start_s,end_s,duration_s,pitch_midi,pitch_name,pitch_hz,velocity,confidence
67.7530,67.9620,0.2090,48,C3,130.813,54,0.4255
67.2874,67.7530,0.4657,48,C3,130.813,54,0.4240
65.8477,66.1380,0.2902,55,G3,195.998,74,0.5840
65.7432,65.8826,0.1393,53,F3,174.614,74,0.5839
65.6620,65.7432,0.0813,53,F3,174.614,67,0.5241
65.5446,65.6504,0.1058,51,D#3,155.563,64,0.5071
64.4184,65.3008,0.8824,51,D#3,155.563,53,0.4176
63.9076,64.0701,0.1625,46,A#2,116.541,49,0.3871
63.3374,63.4071,0.0697,55,G3,195.998,44,0.3455
63.2329,64.2326,0.9997,51,D#3,155.563,68,0.5317
63.1516,63.3374,0.1858,55,G3,195.998,67,0.5263
63.0471,63.1516,0.1045,55,G3,195.998,73,0.5783
62.7337,62.9078,0.1741,51,D#3,155.563,58,0.4570
62.3738,62.6988,0.3251,60,C4,261.626,56,0.4401
61.8745,62.4783,0.6037,57,A3,220.000,69,0.5464
61.6772,62.7337,1.0565,51,D#3,155.563,56,0.4393
61.5366,61.9674,0.4309,53,F3,174.614,48,0.3786
60.8284,61.4901,0.6618,51,D#3,155.563,73,0.5772
60.4684,61.0373,0.5689,57,A3,220.000,89,0.7020
59.6209,59.9112,0.2902,60,C4,261.626,61,0.4802
59.4571,60.1318,0.6747,51,D#3,155.563,71,0.5567
59.1088,59.7719,0.6631,57,A3,220.000,59,0.4628
59.0507,59.9576,0.9069,41,F2,87.307,53,0.4156
58.9346,59.4571,0.5224,51,D#3,155.563,77,0.6028
58.7837,58.8766,0.0929,53,F3,174.614,37,0.2907
58.1916,58.4006,0.2090,55,G3,195.998,52,0.4097
57.8898,58.1916,0.3019,55,G3,195.998,52,0.4078
57.8665,58.0523,0.1858,60,C4,261.626,38,0.3022
57.7504,58.0639,0.3135,62,D4,293.665,62,0.4861
57.7388,57.8898,0.1509,55,G3,195.998,33,0.2596
57.5750,58.7721,1.1971,51,D#3,155.563,56,0.4412
57.4241,57.6576,0.2335,60,C4,261.626,62,0.4914
57.4241,57.6343,0.2103,55,G3,195.998,49,0.3835
57.4125,58.5167,1.1042,43,G2,97.999,60,0.4702
57.3428,57.4241,0.0813,55,G3,195.998,32,0.2553
57.2267,57.4241,0.1974,60,C4,261.626,85,0.6713
56.8900,57.2267,0.3367,60,C4,261.626,86,0.6761
