start_s,end_s,duration_s,pitch_midi,pitch_name,pitch_hz,velocity,confidence
127.8268,128.7904,0.9636,49,C#3,138.591,58,0.4535
127.1173,127.2695,0.1522,46,A#2,116.541,40,0.3114
125.9330,126.1652,0.2322,61,C#4,277.183,52,0.4113
125.2713,125.5847,0.3135,47,B2,123.471,52,0.4124
124.8172,125.2016,0.3844,56,G#3,207.652,53,0.4192
124.3528,125.2713,0.9185,47,B2,123.471,59,0.4623
123.6214,123.8420,0.2206,57,A3,220.000,74,0.5851
122.9003,123.5169,0.6166,61,C#4,277.183,47,0.3671
122.9003,123.1092,0.2090,54,F#3,184.997,50,0.3906
122.1921,122.8074,0.6153,52,E3,164.814,42,0.3332
121.9366,122.1340,0.1974,54,F#3,184.997,44,0.3453
121.9366,122.0992,0.1625,49,C#3,138.591,42,0.3270
121.4606,121.7044,0.2438,56,G#3,207.652,50,0.3959
121.2284,122.8422,1.6138,61,C#4,277.183,52,0.4080
121.2168,121.2981,0.0813,49,C#3,138.591,42,0.3336
120.5305,121.2168,0.6863,49,C#3,138.591,51,0.4045
120.5189,120.8556,0.3367,61,C#4,277.183,49,0.3835
120.5189,120.8905,0.3715,54,F#3,184.997,58,0.4605
119.6830,119.8572,0.1741,56,G#3,207.652,63,0.4926
118.0912,118.9271,0.8359,56,G#3,207.652,53,0.4155
118.0912,119.4973,1.4061,54,F#3,184.997,65,0.5124
118.0912,118.3001,0.2090,52,E3,164.814,41,0.3214
118.0912,118.6833,0.5921,47,B2,123.471,60,0.4690
113.9438,114.2109,0.2670,54,F#3,184.997,69,0.5398
112.7932,112.9673,0.1741,54,F#3,184.997,57,0.4456
111.7134,111.8992,0.1858,52,E3,164.814,44,0.3476
111.6090,111.7134,0.1045,49,C#3,138.591,42,0.3335
110.6905,110.8762,0.1858,49,C#3,138.591,54,0.4246
107.9376,108.0886,0.1509,47,B2,123.471,38,0.3024
107.0308,107.1585,0.1277,56,G#3,207.652,42,0.3316
104.7075,104.9165,0.2090,49,C#3,138.591,63,0.4964
103.6045,103.6858,0.0813,55,G3,195.998,35,0.2776
100.0609,101.6644,1.6035,47,B2,123.471,52,0.4105
98.5852,98.6897,0.1045,55,G3,195.998,38,0.3013
97.6680,97.8421,0.1741,47,B2,123.471,30,0.2398
97.5867,97.7377,0.1509,52,E3,164.814,37,0.2901
97.4010,97.5635,0.1625,49,C#3,138.591,52,0.4119
96.0877,96.2271,0.1393,49,C#3,138.591,53,0.4198
95.6582,95.8439,0.1858,52,E3,164.814,39,0.3049
93.3697,93.9734,0.6037,47,B2,123.471,50,0.3948
92.4977,93.2988,0.8011,47,B2,123.471,51,0.3988
91.3470,92.3235,0.9765,49,C#3,138.591,55,0.4366
91.0916,91.3470,0.2554,49,C#3,138.591,52,0.4115
90.9058,91.0800,0.1741,56,G#3,207.652,77,0.6033
90.8942,90.9987,0.1045,47,B2,123.471,43,0.3398
90.6620,90.8130,0.1509,55,G3,195.998,49,0.3889
88.8380,90.4879,1.6499,56,G#3,207.652,52,0.4080
88.8380,89.7216,0.8836,47,B2,123.471,51,0.4046
87.6886,87.7699,0.0813,56,G#3,207.652,44,0.3488
84.3772,86.4683,2.0911,54,F#3,184.997,56,0.4386
82.4719,83.1685,0.6966,54,F#3,184.997,57,0.4479
81.0309,81.1703,0.1393,47,B2,123.471,40,0.3181
80.0789,80.7755,0.6966,47,B2,123.471,47,0.3721
79.6029,79.8816,0.2786,57,A3,220.000,83,0.6524
79.3230,79.6029,0.2799,57,A3,220.000,87,0.6843
77.9182,77.9995,0.0813,55,G3,195.998,35,0.2793
76.8023,76.9881,0.1858,57,A3,220.000,42,0.3278
75.5949,77.1855,1.5906,54,F#3,184.997,54,0.4214
75.3846,75.5369,0.1522,47,B2,123.471,47,0.3683
73.7012,74.0031,0.3019,53,F3,174.614,43,0.3415
72.3067,72.4693,0.1625,56,G#3,207.652,63,0.4991
72.0745,72.3067,0.2322,57,A3,220.000,91,0.7158
71.3650,71.6333,0.2683,56,G#3,207.652,63,0.4997
71.3650,71.4811,0.1161,52,E3,164.814,38,0.2955
70.4246,70.9122,0.4876,54,F#3,184.997,62,0.4908
68.8908,70.2621,1.3713,54,F#3,184.997,52,0.4108
68.8908,69.6351,0.7443,49,C#3,138.591,57,0.4467
68.8908,69.6584,0.7675,42,F#2,92.499,49,0.3866
68.7863,68.8908,0.1045,49,C#3,138.591,72,0.5688
68.5657,68.7863,0.2206,49,C#3,138.591,63,0.4923
67.8459,68.8908,1.0449,54,F#3,184.997,58,0.4576
67.5905,67.7182,0.1277,61,C#4,277.183,43,0.3394
67.5905,67.8459,0.2554,54,F#3,184.997,55,0.4333
67.5789,67.8111,0.2322,49,C#3,138.591,63,0.4976
66.6604,67.5428,0.8824,61,C#4,277.183,47,0.3704
65.9290,66.1844,0.2554,56,G#3,207.652,52,0.4077
64.2907,64.7203,0.4296,57,A3,220.000,78,0.6165
63.5696,63.8495,0.2799,61,C#4,277.183,50,0.3954
62.8266,63.2910,0.4644,52,E3,164.814,46,0.3632
61.7352,61.9326,0.1974,49,C#3,138.591,65,0.5142
60.9328,61.4901,0.5573,54,F#3,184.997,56,0.4385
60.9212,61.1767,0.2554,61,C#4,277.183,48,0.3796
60.7123,60.8980,0.1858,58,A#3,233.082,82,0.6494
60.5149,60.8400,0.3251,53,F3,174.614,62,0.4864
60.5033,60.7123,0.2090,58,A#3,233.082,82,0.6487
60.2130,60.5033,0.2902,58,A#3,233.082,43,0.3385
60.2130,60.5149,0.3019,53,F3,174.614,64,0.5052
59.5500,59.6906,0.1406,49,C#3,138.591,40,0.3159
59.0856,59.5384,0.4528,49,C#3,138.591,68,0.5365
58.6096,58.7837,0.1741,52,E3,164.814,39,0.3065
58.3774,59.6441,1.2668,54,F#3,184.997,56,0.4389
58.3774,58.5863,0.2090,49,C#3,138.591,48,0.3808
57.5169,58.1336,0.6166,47,B2,123.471,45,0.3522
56.5069,56.7855,0.2786,57,A3,220.000,61,0.4764
55.7871,55.9844,0.1974,56,G#3,207.652,64,0.5022
55.2169,55.7290,0.5121,47,B2,123.471,55,0.4363
55.1240,55.2169,0.0929,47,B2,123.471,57,0.4523
55.1124,55.6477,0.5353,52,E3,164.814,50,0.3971
55.0892,55.3214,0.2322,40,E2,82.407,34,0.2673
54.1836,54.6364,0.4528,54,F#3,184.997,65,0.5154
53.9050,55.0079,1.1029,50,D3,146.832,45,0.3569
53.4741,53.5902,0.1161,49,C#3,138.591,47,0.3674
50.8257,51.1160,0.2902,47,B2,123.471,45,0.3513
50.6052,50.7445,0.1393,47,B2,123.471,54,0.4226
50.3730,50.6052,0.2322,47,B2,123.471,44,0.3435
49.9086,50.3730,0.4644,47,B2,123.471,51,0.4008
49.8970,50.2336,0.3367,54,F#3,184.997,49,0.3856
47.8291,48.3748,0.5457,52,E3,164.814,51,0.3988
47.0499,47.2589,0.2090,57,A3,220.000,40,0.3150
46.1327,46.4694,0.3367,54,F#3,184.997,72,0.5682
45.4233,45.6916,0.2683,47,B2,123.471,44,0.3468
44.2390,45.4000,1.1610,54,F#3,184.997,63,0.4940
43.9952,44.1694,0.1741,47,B2,123.471,42,0.3288
43.7746,44.1345,0.3599,52,E3,164.814,38,0.2970
43.5644,44.2390,0.6747,54,F#3,184.997,64,0.5018
43.5644,43.7979,0.2335,47,B2,123.471,40,0.3187
42.8678,43.2857,0.4180,56,G#3,207.652,59,0.4607
42.7865,43.5644,0.7779,54,F#3,184.997,48,0.3763
42.3918,42.7865,0.3947,54,F#3,184.997,52,0.4092
42.3802,42.6936,0.3135,47,B2,123.471,55,0.4328
42.1596,42.3918,0.2322,54,F#3,184.997,41,0.3242
41.6591,41.8345,0.1754,57,A3,220.000,65,0.5089
40.7303,40.8928,0.1625,52,E3,164.814,47,0.3712
40.2426,40.4516,0.2090,47,B2,123.471,50,0.3968
40.2310,40.7303,0.4992,52,E3,164.814,54,0.4268
39.9988,40.1962,0.1974,61,C#4,277.183,41,0.3242
39.9872,40.1381,0.1509,54,F#3,184.997,36,0.2866
39.5680,39.6957,0.1277,57,A3,220.000,48,0.3778
38.1051,38.1980,0.0929,58,A#3,233.082,37,0.2901
38.1051,38.6160,0.5108,49,C#3,138.591,79,0.6226
37.8265,38.0819,0.2554,52,E3,164.814,63,0.4927
37.6510,37.8265,0.1754,52,E3,164.814,73,0.5763
